School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2019-2020,1625636,Special Ed PM Run,1978,N154,Heavy Traffic,"410,804,839",02/04/2020 01:30:00 PM,02/04/2020 01:31:00 PM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,02/04/2020 01:31:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1672840,Special Ed PM Run,2016,N211,Problem Run,"6,319,063,240,644,600,000",10/20/2021 01:57:00 PM,10/20/2021 01:57:00 PM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,10/20/2021 01:57:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1712863,Special Ed AM Run,1638,N900,Heavy Traffic,75029,04/01/2022 07:29:00 AM,04/01/2022 07:30:00 AM,Nassau County,"THOMAS BUSES, INC. (B2321)",31-45 Min,6,Yes,Yes,No,04/01/2022 07:30:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1780913,General Ed AM Run,71203,Q2948,Heavy Traffic,26208,12/21/2022 06:41:00 AM,12/21/2022 06:44:00 AM,Queens,ALLIED TRANSIT CORP.,16-30 Min,2,No,No,No,12/21/2022 06:44:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2020-2021,1640664,General Ed AM Run,25609,M1100,Mechanical Problem,2666,11/19/2020 07:25:00 AM,11/19/2020 07:40:00 AM,Manhattan,SNT BUS INC,61-90 Min,0,Yes,No,No,11/19/2020 07:40:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1742157,Special Ed PM Run,663,Y105,Won`t Start,"7,296,074,920,752,700,000",09/20/2022 01:10:00 PM,09/20/2022 01:28:00 PM,Manhattan,HOYT TRANSPORTATION CORP.,,0,Yes,Yes,No,09/20/2022 01:28:00 PM,,01/01/1900 12:00:00 AM,Breakdown,School-Age
2022-2023,1740670,Pre-K/EI,12518,3311A,Other,S224,09/16/2022 07:00:00 AM,09/16/2022 07:05:00 AM,Brooklyn,L & M BUS CORP.,16-30 Min,1,No,No,No,09/16/2022 07:05:00 AM,,09/16/2022 09:11:44 AM,Running Late,Pre-K
2021-2022,1682785,Special Ed AM Run,1500,N564,Heavy Traffic,"231,202,911",11/18/2021 06:51:00 AM,11/18/2021 06:53:00 AM,Nassau County,HOYT TRANSPORTATION CORP.,0-15 Min,2,Yes,Yes,No,11/18/2021 06:53:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1479286,Special Ed AM Run,5314,K119,Problem Run,13422,10/31/2018 07:45:00 AM,10/31/2018 08:16:00 AM,Brooklyn,JOFAZ TRANSPORTATION INC.,61-90 Min,7,Yes,Yes,No,10/31/2018 08:16:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1625135,Special Ed PM Run,1497,N152,Heavy Traffic,"441,004,839",02/03/2020 01:23:00 PM,02/03/2020 01:24:00 PM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,02/03/2020 01:24:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
